"CO₂e (GWP AR5)
(Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
3.D.2.a.iii.1.a.               Bovinos de corte," 3,096 "," 3,188 "," 3,225 "," 3,269 "," 3,335 "," 3,389 "," 3,433 "," 3,473 "," 3,533 "," 3,567 "," 3,684 "," 3,880 "," 4,098 "," 4,338 "," 4,529 "," 4,560 "," 4,522 "," 4,364 "," 4,426 "," 4,503 "," 4,649 "," 4,673 "," 4,663 "," 4,646 "," 4,671 "," 4,847 "," 5,001 "
3.D.2.a.iii.1.b.               Bovino de leite," 1,188 "," 1,239 "," 1,271 "," 1,245 "," 1,242 "," 1,274 "," 1,009 "," 1,057 "," 1,070 "," 1,078 "," 1,109 "," 1,128 "," 1,169 "," 1,199 "," 1,247 "," 1,286 "," 1,305 "," 1,314 "," 1,341 "," 1,394 "," 1,423 "," 1,440 "," 1,410 "," 1,416 "," 1,423 "," 1,299 "," 1,208 "
3.D.2.a.iii.2.             Suínos , 78 , 78 , 77 , 74 , 74 , 74 , 54 , 53 , 52 , 53 , 54 , 55 , 54 , 51 , 52 , 53 , 52 , 49 , 48 , 48 , 49 , 47 , 43 , 41 , 42 , 42 , 41 
3.D.2.a.iii.3.             Outros animais, 533 , 540 , 542 , 519 , 527 , 534 , 419 , 426 , 429 , 435 , 446 , 446 , 442 , 448 , 453 , 460 , 461 , 446 , 444 , 439 , 445 , 450 , 431 , 434 , 440 , 453 , 456 
3.D.2.b.       Lixiviação / escorrimento superficial," 9,639 "," 9,798 "," 10,146 "," 10,289 "," 10,654 "," 10,832 "," 10,342 "," 10,750 "," 11,062 "," 11,200 "," 11,742 "," 12,183 "," 12,716 "," 14,165 "," 14,475 "," 14,515 "," 14,717 "," 15,311 "," 15,547 "," 15,772 "," 16,560 "," 17,123 "," 17,066 "," 17,762 "," 18,129 "," 18,200 "," 18,794 "
3.D.2.b.i.         Fertilizantes sintéticos, 730 , 732 , 811 , 951 ," 1,103 "," 1,063 "," 1,122 "," 1,220 "," 1,364 "," 1,305 "," 1,563 "," 1,537 "," 1,701 "," 2,083 "," 2,103 "," 2,063 "," 2,152 "," 2,583 "," 2,345 "," 2,395 "," 2,675 "," 3,154 "," 3,249 "," 3,465 "," 3,628 "," 3,310 "," 4,091 "
3.D.2.b.ii.          Adubos orgânicos, 507 , 518 , 550 , 544 , 550 , 597 , 553 , 590 , 608 , 617 , 635 , 607 , 629 , 668 , 727 , 763 , 779 , 849 , 934 ," 1,027 "," 1,023 "," 1,065 ", 993 ," 1,012 "," 1,082 "," 1,089 "," 1,096 "
3.D.2.b.iii.           Deposição de dejetos diretamente no solo," 5,506 "," 5,676 "," 5,755 "," 5,745 "," 5,825 "," 5,929 "," 5,530 "," 5,634 "," 5,720 "," 5,775 "," 5,954 "," 6,198 "," 6,483 "," 6,790 "," 7,066 "," 7,155 "," 7,131 "," 6,945 "," 7,041 "," 7,182 "," 7,387 "," 7,436 "," 7,365 "," 7,355 "," 7,397 "," 7,472 "," 7,544 "
3.D.2.b.iii.1.             Bovinos," 4,819 "," 4,981 "," 5,058 "," 5,079 "," 5,149 "," 5,245 "," 4,997 "," 5,096 "," 5,179 "," 5,225 "," 5,391 "," 5,634 "," 5,926 "," 6,229 "," 6,498 "," 6,578 "," 6,555 "," 6,388 "," 6,487 "," 6,634 "," 6,831 "," 6,876 "," 6,831 "," 6,820 "," 6,855 "," 6,915 "," 6,985 "
3.D.2.b.iii.2.             Suínos , 88 , 88 , 87 , 83 , 83 , 83 , 61 , 60 , 59 , 60 , 61 , 62 , 61 , 57 , 58 , 60 , 58 , 55 , 54 , 54 , 55 , 53 , 49 , 46 , 47 , 47 , 46 
3.D.2.b.iii.3.             Outros animais, 599 , 607 , 610 , 584 , 593 , 601 , 472 , 479 , 482 , 490 , 501 , 502 , 497 , 504 , 509 , 517 , 519 , 502 , 500 , 494 , 501 , 506 , 485 , 489 , 495 , 510 , 513 
3.D.2.b.iv.          Resíduos agrícolas," 2,723 "," 2,699 "," 2,858 "," 2,875 "," 3,003 "," 3,069 "," 2,964 "," 3,132 "," 3,196 "," 3,329 "," 3,418 "," 3,668 "," 3,730 "," 4,326 "," 4,280 "," 4,237 "," 4,357 "," 4,636 "," 4,929 "," 4,870 "," 5,177 "," 5,220 "," 5,211 "," 5,681 "," 5,773 "," 6,080 "," 5,814 "
3.D.2.b.iv.1.            Soja, 341 , 256 , 330 , 388 , 428 , 441 , 398 , 453 , 537 , 532 , 563 , 651 , 723 , 891 , 850 , 878 , 900 , 993 ," 1,027 ", 984 ," 1,180 "," 1,284 "," 1,130 "," 1,403 "," 1,489 "," 1,673 "," 1,654 "
3.D.2.b.iv.2.            Milho, 257 , 285 , 368 , 362 , 392 , 437 , 357 , 397 , 357 , 389 , 390 , 506 , 433 , 583 , 504 , 423 , 514 , 628 , 710 , 611 , 667 , 671 , 857 , 968 , 963 ," 1,028 ", 773 
3.D.2.b.iv.3.            Cana-de-açúcar, 122 , 122 , 127 , 114 , 136 , 142 , 164 , 184 , 195 , 193 , 201 , 209 , 220 , 235 , 250 , 260 , 310 , 374 , 509 , 611 , 678 , 745 , 768 , 846 , 825 , 896 , 931 
3.D.2.b.iv.4.            Arroz, 76 , 97 , 103 , 104 , 108 , 115 , 89 , 86 , 79 , 120 , 114 , 104 , 107 , 106 , 136 , 135 , 118 , 113 , 124 , 130 , 115 , 138 , 118 , 121 , 125 , 126 , 109 
3.D.2.b.iv.5.            Feijão, 55 , 67 , 69 , 61 , 83 , 72 , 60 , 70 , 54 , 70 , 75 , 60 , 75 , 81 , 73 , 74 , 85 , 78 , 85 , 86 , 78 , 85 , 69 , 71 , 81 , 76 , 64 
3.D.2.b.iv.6.            Mandioca, 59 , 59 , 53 , 53 , 59 , 61 , 43 , 48 , 47 , 50 , 56 , 55 , 56 , 53 , 58 , 63 , 64 , 64 , 65 , 59 , 60 , 61 , 56 , 52 , 56 , 56 , 51 
3.D.2.b.iv.7.            Trigo, 28 , 26 , 25 , 20 , 19 , 14 , 29 , 22 , 20 , 22 , 15 , 30 , 28 , 55 , 52 , 42 , 22 , 37 , 54 , 45 , 55 , 51 , 40 , 51 , 56 , 49 , 61 
3.D.2.b.iv.8.            Pastagens," 1,720 "," 1,720 "," 1,720 "," 1,720 "," 1,720 "," 1,732 "," 1,771 "," 1,810 "," 1,849 "," 1,887 "," 1,926 "," 1,965 "," 2,004 "," 2,224 "," 2,230 "," 2,237 "," 2,232 "," 2,233 "," 2,234 "," 2,235 "," 2,236 "," 2,055 "," 2,055 "," 2,055 "," 2,055 "," 2,055 "," 2,055 "
3.D.2.b.iv.9.            Outras, 64 , 65 , 64 , 53 , 58 , 54 , 52 , 63 , 59 , 67 , 78 , 88 , 84 , 98 , 126 , 124 , 110 , 115 , 121 , 108 , 107 , 130 , 119 , 114 , 123 , 122 , 115 
3.D.2.b.v.         Mineralização de N associada a perda de C do solo, 173 , 173 , 173 , 173 , 173 , 173 , 173 , 173 , 173 , 173 , 173 , 173 , 173 , 298 , 298 , 298 , 298 , 298 , 298 , 298 , 298 , 249 , 249 , 249 , 249 , 249 , 249 
3.E.   Queima prescrita de savanas, NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE 
3.F.   Queima de resíduos agrícolas," 1,848 "," 1,824 "," 1,858 "," 1,643 "," 1,935 "," 1,995 "," 1,960 "," 1,953 "," 2,007 "," 1,909 "," 1,764 "," 1,884 "," 2,006 "," 2,217 "," 2,293 "," 2,296 "," 2,467 "," 2,701 "," 2,617 "," 2,290 "," 2,024 "," 1,657 "," 1,350 "," 1,211 "," 1,052 ", 638 , 551 
3.G.   Calagem," 9,141 "," 8,673 "," 7,344 "," 9,371 "," 9,741 "," 5,845 "," 7,444 "," 8,132 "," 7,691 "," 7,295 "," 9,444 "," 8,617 "," 10,623 "," 12,614 "," 12,546 "," 8,097 "," 8,032 "," 10,563 "," 11,427 "," 9,094 "," 11,292 "," 13,992 "," 16,179 "," 15,955 "," 16,863 "," 14,606 "," 15,844 "
3.H.   Aplicação de Ureia, 631 , 655 , 674 , 950 , 988 , 920 ," 1,012 "," 1,131 "," 1,311 "," 1,320 "," 1,201 "," 1,291 "," 1,342 "," 1,808 "," 1,784 "," 1,878 "," 1,894 "," 2,260 "," 2,106 "," 2,094 "," 2,406 "," 2,835 "," 2,753 "," 3,159 "," 3,408 "," 2,932 "," 3,888 "
3.I.   Outros fertilizantes Contendo Carbono, NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO 
3.J.   Outro, NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO 
