"N₂O
 (Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
3. Agropecuária, 279.30 , 284.96 , 293.53 , 297.11 , 306.62 , 311.96 , 296.56 , 306.82 , 314.99 , 318.63 , 332.56 , 344.97 , 360.07 , 395.48 , 405.71 , 408.30 , 412.94 , 425.66 , 431.33 , 437.97 , 457.60 , 472.42 , 470.26 , 485.66 , 494.53 , 494.66 , 510.46 
3.A.   Fermentação Entérica, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3.A.1.     Bovinos, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3.A.1.a.       Bovinos de corte, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3.A.1.b.       Bovinos de leite, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3.A.2.     Ovinos, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3.A.3.     Suínos, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3.A.4.     Outros animais, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3.D.1.c.iii.           Outros animais, 11.03 , 11.19 , 11.22 , 10.83 , 11.05 , 11.22 , 8.64 , 8.72 , 8.80 , 8.96 , 9.18 , 9.20 , 9.11 , 9.25 , 9.33 , 9.50 , 9.50 , 9.20 , 9.18 , 9.08 , 9.23 , 9.38 , 9.01 , 9.13 , 9.22 , 9.47 , 9.57 
3.D.1.d.       Resíduos agrícolas, 45.66 , 45.26 , 47.93 , 48.23 , 50.36 , 51.47 , 49.71 , 52.53 , 53.61 , 55.84 , 57.32 , 61.51 , 62.55 , 72.55 , 71.67 , 71.08 , 73.08 , 77.75 , 82.69 , 81.67 , 86.84 , 87.55 , 87.40 , 95.28 , 96.82 , 101.97 , 97.52 
3.D.1.d.i.         Soja, 5.73 , 4.30 , 5.53 , 6.50 , 7.17 , 7.39 , 6.67 , 7.60 , 9.01 , 8.92 , 9.45 , 10.91 , 12.12 , 14.94 , 14.26 , 14.73 , 15.10 , 16.65 , 17.22 , 16.50 , 19.79 , 21.54 , 18.95 , 23.52 , 24.97 , 28.06 , 27.75 
3.D.1.d.ii.          Milho, 4.32 , 4.78 , 6.17 , 6.08 , 6.57 , 7.33 , 5.99 , 6.66 , 5.98 , 6.52 , 6.53 , 8.48 , 7.27 , 9.77 , 8.45 , 7.10 , 8.62 , 10.53 , 11.91 , 10.25 , 11.19 , 11.25 , 14.37 , 16.23 , 16.15 , 17.24 , 12.97 
3.D.1.d.iii.           Cana-de-açúcar, 2.05 , 2.04 , 2.12 , 1.92 , 2.29 , 2.38 , 2.76 , 3.08 , 3.27 , 3.24 , 3.36 , 3.51 , 3.69 , 3.94 , 4.20 , 4.36 , 5.20 , 6.28 , 8.54 , 10.25 , 11.37 , 12.50 , 12.88 , 14.20 , 13.83 , 15.02 , 15.61 
3.D.1.d.iv.          Arroz, 1.28 , 1.63 , 1.72 , 1.74 , 1.81 , 1.93 , 1.49 , 1.44 , 1.33 , 2.01 , 1.92 , 1.75 , 1.80 , 1.78 , 2.28 , 2.27 , 1.98 , 1.90 , 2.07 , 2.18 , 1.93 , 2.32 , 1.99 , 2.03 , 2.09 , 2.12 , 1.83 
3.D.1.d.v.         Feijão, 0.92 , 1.13 , 1.15 , 1.02 , 1.39 , 1.21 , 1.01 , 1.17 , 0.90 , 1.17 , 1.26 , 1.01 , 1.26 , 1.36 , 1.22 , 1.25 , 1.43 , 1.31 , 1.43 , 1.44 , 1.30 , 1.42 , 1.15 , 1.19 , 1.36 , 1.28 , 1.08 
3.D.1.d.vi.          Mandioca, 0.99 , 0.99 , 0.89 , 0.89 , 0.99 , 1.03 , 0.72 , 0.81 , 0.79 , 0.85 , 0.93 , 0.92 , 0.94 , 0.89 , 0.97 , 1.05 , 1.08 , 1.08 , 1.08 , 0.99 , 1.01 , 1.03 , 0.93 , 0.87 , 0.94 , 0.93 , 0.85 
3.D.1.d.vii.           Trigo, 0.46 , 0.44 , 0.42 , 0.33 , 0.31 , 0.23 , 0.49 , 0.37 , 0.34 , 0.37 , 0.26 , 0.51 , 0.47 , 0.92 , 0.87 , 0.70 , 0.37 , 0.62 , 0.90 , 0.76 , 0.93 , 0.85 , 0.66 , 0.86 , 0.94 , 0.83 , 1.03 
3.D.1.d.viii.            Pastagens, 28.85 , 28.85 , 28.85 , 28.85 , 28.85 , 29.05 , 29.70 , 30.35 , 31.00 , 31.65 , 32.30 , 32.95 , 33.60 , 37.29 , 37.41 , 37.52 , 37.44 , 37.46 , 37.47 , 37.49 , 37.50 , 34.46 , 34.46 , 34.46 , 34.46 , 34.46 , 34.46 
3.D.1.d.ix.          Outras culturas temporárias, 1.07 , 1.10 , 1.08 , 0.89 , 0.96 , 0.90 , 0.88 , 1.05 , 0.98 , 1.12 , 1.30 , 1.47 , 1.41 , 1.65 , 2.01 , 2.11 , 1.86 , 1.93 , 2.05 , 1.82 , 1.81 , 2.18 , 2.00 , 1.91 , 2.06 , 2.04 , 1.95 
3.D.1.e.       Mineralização de N associada a perda de C do solo, 2.90 , 2.90 , 2.90 , 2.90 , 2.90 , 2.90 , 2.90 , 2.90 , 2.90 , 2.90 , 2.90 , 2.90 , 2.90 , 5.00 , 5.00 , 5.00 , 5.00 , 5.00 , 5.00 , 5.00 , 5.00 , 4.18 , 4.18 , 4.18 , 4.18 , 4.18 , 4.18 
3.D.1.f.       Manejo de solos orgânicos, 5.42 , 5.45 , 5.49 , 5.52 , 5.47 , 5.59 , 5.63 , 5.67 , 5.71 , 5.75 , 5.78 , 5.82 , 6.03 , 5.90 , 5.94 , 5.98 , 6.01 , 6.05 , 6.09 , 6.13 , 6.08 , 6.20 , 6.24 , 6.28 , 6.32 , 6.36 , 6.40 
3.D.2.     Emissões indiretas, 58.80 , 60.06 , 61.89 , 63.16 , 65.16 , 66.13 , 63.07 , 65.45 , 67.54 , 68.22 , 71.15 , 73.70 , 77.10 , 85.25 , 87.50 , 88.17 , 89.08 , 92.33 , 93.06 , 94.68 , 99.42 , 103.46 , 102.84 , 106.63 , 109.08 , 108.16 , 113.79 
3.D.2.a.       Deposição atmosferica, 22.42 , 23.09 , 23.61 , 24.34 , 24.96 , 25.25 , 24.04 , 24.88 , 25.80 , 25.96 , 26.83 , 27.73 , 29.12 , 31.80 , 32.88 , 33.40 , 33.55 , 34.55 , 34.39 , 35.16 , 36.93 , 38.84 , 38.44 , 39.60 , 40.67 , 39.48 , 42.87 
3.D.2.a.i.         Fertilizantes sintéticos, 2.44 , 2.49 , 2.66 , 3.43 , 3.76 , 3.56 , 3.83 , 4.23 , 4.82 , 4.74 , 4.94 , 5.07 , 5.44 , 6.98 , 6.97 , 7.08 , 7.26 , 8.69 , 7.99 , 8.05 , 9.13 , 10.76 , 10.76 , 11.90 , 12.66 , 11.21 , 14.36 
