"CO₂e (GWP SAR)
(Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
3.D.1.c.i.         Bovinos," 37,582 "," 38,843 "," 39,442 "," 39,608 "," 40,155 "," 40,908 "," 38,972 "," 39,740 "," 40,392 "," 40,751 "," 42,045 "," 43,941 "," 46,213 "," 48,577 "," 50,679 "," 51,298 "," 51,117 "," 49,817 "," 50,593 "," 51,738 "," 53,272 "," 53,628 "," 53,274 "," 53,184 "," 53,461 "," 53,926 "," 54,472 "
3.D.1.c.i.1.           Bovinos de corte," 27,160 "," 27,973 "," 28,291 "," 28,684 "," 29,263 "," 29,733 "," 30,122 "," 30,467 "," 31,001 "," 31,293 "," 32,318 "," 34,046 "," 35,958 "," 38,061 "," 39,737 "," 40,012 "," 39,670 "," 38,287 "," 38,829 "," 39,509 "," 40,789 "," 40,996 "," 40,907 "," 40,764 "," 40,979 "," 42,529 "," 43,877 "
3.D.1.c.i.2.           Bovino de leite," 10,423 "," 10,870 "," 11,152 "," 10,924 "," 10,893 "," 11,175 "," 8,850 "," 9,272 "," 9,391 "," 9,457 "," 9,727 "," 9,896 "," 10,255 "," 10,516 "," 10,942 "," 11,286 "," 11,447 "," 11,530 "," 11,764 "," 12,229 "," 12,484 "," 12,632 "," 12,367 "," 12,419 "," 12,482 "," 11,397 "," 10,595 "
3.D.1.c.ii.          Suínos , 914 , 917 , 904 , 863 , 862 , 863 , 630 , 621 , 613 , 626 , 635 , 643 , 630 , 594 , 606 , 624 , 603 , 576 , 563 , 563 , 570 , 548 , 508 , 483 , 494 , 492 , 479 
3.D.1.c.iii.           Outros animais," 3,418 "," 3,468 "," 3,479 "," 3,358 "," 3,425 "," 3,479 "," 2,680 "," 2,702 "," 2,727 "," 2,777 "," 2,845 "," 2,852 "," 2,825 "," 2,867 "," 2,894 "," 2,944 "," 2,946 "," 2,853 "," 2,847 "," 2,813 "," 2,860 "," 2,909 "," 2,793 "," 2,829 "," 2,857 "," 2,937 "," 2,965 "
3.D.1.d.       Resíduos agrícolas," 14,156 "," 14,031 "," 14,860 "," 14,950 "," 15,611 "," 15,955 "," 15,411 "," 16,286 "," 16,619 "," 17,310 "," 17,768 "," 19,069 "," 19,390 "," 22,490 "," 22,219 "," 22,036 "," 22,656 "," 24,104 "," 25,634 "," 25,318 "," 26,921 "," 27,139 "," 27,094 "," 29,537 "," 30,014 "," 31,612 "," 30,232 "
3.D.1.d.i.         Soja," 1,775 "," 1,333 "," 1,714 "," 2,016 "," 2,224 "," 2,292 "," 2,067 "," 2,355 "," 2,793 "," 2,765 "," 2,928 "," 3,382 "," 3,757 "," 4,632 "," 4,421 "," 4,566 "," 4,681 "," 5,162 "," 5,338 "," 5,116 "," 6,134 "," 6,676 "," 5,876 "," 7,293 "," 7,742 "," 8,697 "," 8,602 "
3.D.1.d.ii.          Milho," 1,338 "," 1,480 "," 1,912 "," 1,884 "," 2,036 "," 2,273 "," 1,858 "," 2,065 "," 1,855 "," 2,020 "," 2,025 "," 2,630 "," 2,252 "," 3,029 "," 2,619 "," 2,200 "," 2,673 "," 3,266 "," 3,693 "," 3,179 "," 3,470 "," 3,489 "," 4,455 "," 5,031 "," 5,007 "," 5,345 "," 4,020 "
3.D.1.d.iii.           Cana-de-açúcar, 636 , 632 , 658 , 595 , 710 , 738 , 855 , 956 ," 1,013 "," 1,003 "," 1,043 "," 1,087 "," 1,145 "," 1,221 "," 1,301 "," 1,352 "," 1,611 "," 1,947 "," 2,648 "," 3,177 "," 3,526 "," 3,875 "," 3,992 "," 4,401 "," 4,288 "," 4,657 "," 4,839 "
3.D.1.d.iv.          Arroz, 396 , 506 , 534 , 541 , 562 , 599 , 461 , 445 , 411 , 624 , 594 , 543 , 557 , 551 , 708 , 704 , 615 , 590 , 643 , 675 , 599 , 719 , 616 , 628 , 649 , 656 , 567 
