"CO₂e (GTP AR5)
(Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
3.D.1.c.i.1.           Bovinos de corte," 20,501 "," 21,115 "," 21,355 "," 21,652 "," 22,089 "," 22,444 "," 22,737 "," 22,998 "," 23,401 "," 23,622 "," 24,395 "," 25,699 "," 27,142 "," 28,730 "," 29,995 "," 30,203 "," 29,945 "," 28,901 "," 29,310 "," 29,823 "," 30,789 "," 30,945 "," 30,878 "," 30,771 "," 30,933 "," 32,103 "," 33,120 "
3.D.1.c.i.2.           Bovino de leite," 7,867 "," 8,205 "," 8,418 "," 8,246 "," 8,222 "," 8,435 "," 6,680 "," 6,999 "," 7,089 "," 7,139 "," 7,342 "," 7,470 "," 7,741 "," 7,938 "," 8,259 "," 8,519 "," 8,641 "," 8,704 "," 8,880 "," 9,231 "," 9,423 "," 9,535 "," 9,335 "," 9,375 "," 9,422 "," 8,603 "," 7,997 "
3.D.1.c.ii.          Suínos , 690 , 692 , 682 , 651 , 651 , 651 , 476 , 469 , 463 , 472 , 479 , 485 , 475 , 449 , 458 , 471 , 455 , 435 , 425 , 425 , 430 , 414 , 383 , 365 , 373 , 371 , 361 
3.D.1.c.iii.           Outros animais," 2,580 "," 2,618 "," 2,626 "," 2,535 "," 2,585 "," 2,626 "," 2,023 "," 2,039 "," 2,058 "," 2,096 "," 2,148 "," 2,153 "," 2,132 "," 2,164 "," 2,184 "," 2,222 "," 2,224 "," 2,154 "," 2,149 "," 2,124 "," 2,159 "," 2,196 "," 2,108 "," 2,135 "," 2,157 "," 2,217 "," 2,238 "
3.D.1.d.       Resíduos agrícolas," 10,685 "," 10,591 "," 11,217 "," 11,285 "," 11,784 "," 12,044 "," 11,633 "," 12,293 "," 12,544 "," 13,067 "," 13,412 "," 14,394 "," 14,637 "," 16,977 "," 16,772 "," 16,634 "," 17,101 "," 18,194 "," 19,349 "," 19,111 "," 20,321 "," 20,486 "," 20,451 "," 22,296 "," 22,656 "," 23,862 "," 22,820 "
3.D.1.d.i.         Soja," 1,340 "," 1,006 "," 1,294 "," 1,521 "," 1,679 "," 1,730 "," 1,560 "," 1,777 "," 2,108 "," 2,087 "," 2,210 "," 2,553 "," 2,836 "," 3,497 "," 3,337 "," 3,447 "," 3,533 "," 3,896 "," 4,030 "," 3,862 "," 4,631 "," 5,040 "," 4,435 "," 5,505 "," 5,844 "," 6,565 "," 6,493 "
3.D.1.d.ii.          Milho," 1,010 "," 1,117 "," 1,443 "," 1,422 "," 1,537 "," 1,715 "," 1,403 "," 1,559 "," 1,400 "," 1,525 "," 1,529 "," 1,985 "," 1,700 "," 2,286 "," 1,977 "," 1,661 "," 2,018 "," 2,465 "," 2,788 "," 2,399 "," 2,619 "," 2,633 "," 3,362 "," 3,798 "," 3,779 "," 4,035 "," 3,035 "
3.D.1.d.iii.           Cana-de-açúcar, 480 , 477 , 497 , 449 , 536 , 557 , 645 , 722 , 764 , 757 , 787 , 821 , 864 , 921 , 982 ," 1,021 "," 1,216 "," 1,470 "," 1,999 "," 2,398 "," 2,661 "," 2,925 "," 3,013 "," 3,322 "," 3,237 "," 3,516 "," 3,653 "
3.D.1.d.iv.          Arroz, 299 , 382 , 403 , 408 , 424 , 452 , 348 , 336 , 311 , 471 , 448 , 410 , 420 , 416 , 534 , 531 , 464 , 445 , 486 , 509 , 452 , 543 , 465 , 474 , 490 , 495 , 428 
3.D.1.d.v.         Feijão, 216 , 265 , 270 , 239 , 325 , 284 , 237 , 274 , 212 , 273 , 295 , 237 , 296 , 319 , 286 , 292 , 334 , 306 , 334 , 337 , 305 , 332 , 270 , 279 , 318 , 298 , 253 
3.D.1.d.vi.          Mandioca, 231 , 233 , 208 , 208 , 232 , 241 , 168 , 189 , 185 , 198 , 219 , 214 , 220 , 208 , 227 , 245 , 253 , 252 , 253 , 232 , 237 , 241 , 219 , 204 , 221 , 219 , 200 
3.D.1.d.vii.           Trigo, 109 , 102 , 98 , 77 , 74 , 54 , 116 , 87 , 80 , 86 , 61 , 118 , 109 , 216 , 204 , 164 , 87 , 144 , 212 , 177 , 217 , 200 , 155 , 202 , 220 , 194 , 240 
3.D.1.d.viii.            Pastagens," 6,751 "," 6,751 "," 6,751 "," 6,751 "," 6,751 "," 6,799 "," 6,951 "," 7,103 "," 7,255 "," 7,407 "," 7,559 "," 7,711 "," 7,863 "," 8,727 "," 8,753 "," 8,779 "," 8,761 "," 8,765 "," 8,768 "," 8,772 "," 8,775 "," 8,064 "," 8,064 "," 8,064 "," 8,064 "," 8,064 "," 8,064 "
3.D.1.d.ix.          Outras culturas temporárias, 250 , 257 , 253 , 208 , 226 , 211 , 206 , 247 , 230 , 262 , 305 , 345 , 329 , 386 , 471 , 494 , 435 , 451 , 480 , 425 , 424 , 510 , 468 , 448 , 483 , 477 , 456 
3.D.1.e.       Mineralização de N associada a perda de C do solo, 680 , 680 , 680 , 680 , 680 , 680 , 680 , 680 , 680 , 680 , 680 , 680 , 680 ," 1,171 "," 1,171 "," 1,171 "," 1,171 "," 1,171 "," 1,171 "," 1,171 "," 1,171 ", 977 , 977 , 977 , 977 , 977 , 977 
3.D.1.f.       Manejo de solos orgânicos," 1,268 "," 1,275 "," 1,284 "," 1,292 "," 1,280 "," 1,309 "," 1,318 "," 1,327 "," 1,336 "," 1,345 "," 1,354 "," 1,363 "," 1,412 "," 1,380 "," 1,389 "," 1,398 "," 1,407 "," 1,416 "," 1,425 "," 1,434 "," 1,423 "," 1,452 "," 1,461 "," 1,470 "," 1,479 "," 1,488 "," 1,497 "
3.D.2.     Emissões indiretas," 13,759 "," 14,055 "," 14,483 "," 14,780 "," 15,249 "," 15,474 "," 14,758 "," 15,315 "," 15,805 "," 15,965 "," 16,648 "," 17,247 "," 18,042 "," 19,948 "," 20,475 "," 20,633 "," 20,846 "," 21,606 "," 21,776 "," 22,154 "," 23,265 "," 24,210 "," 24,064 "," 24,951 "," 25,524 "," 25,308 "," 26,626 "
3.D.2.a.       Deposição atmosferica," 5,247 "," 5,403 "," 5,524 "," 5,695 "," 5,841 "," 5,909 "," 5,625 "," 5,822 "," 6,038 "," 6,075 "," 6,279 "," 6,489 "," 6,814 "," 7,441 "," 7,693 "," 7,815 "," 7,850 "," 8,086 "," 8,048 "," 8,228 "," 8,642 "," 9,089 "," 8,994 "," 9,268 "," 9,516 "," 9,237 "," 10,031 "
3.D.2.a.i.         Fertilizantes sintéticos, 571 , 583 , 622 , 802 , 879 , 832 , 897 , 989 ," 1,127 "," 1,108 "," 1,156 "," 1,186 "," 1,274 "," 1,633 "," 1,631 "," 1,657 "," 1,699 "," 2,034 "," 1,870 "," 1,885 "," 2,135 "," 2,517 "," 2,517 "," 2,786 "," 2,962 "," 2,622 "," 3,360 "
3.D.2.a.ii.          Adubos orgânicos, 354 , 365 , 385 , 384 , 390 , 422 , 388 , 410 , 421 , 434 , 451 , 438 , 451 , 478 , 517 , 542 , 553 , 601 , 651 , 705 , 709 , 736 , 696 , 709 , 748 , 750 , 749 
3.D.2.a.iii.           Deposição de dejetos diretamente no solo," 4,322 "," 4,455 "," 4,517 "," 4,510 "," 4,572 "," 4,654 "," 4,340 "," 4,422 "," 4,490 "," 4,533 "," 4,673 "," 4,865 "," 5,089 "," 5,329 "," 5,546 "," 5,616 "," 5,597 "," 5,451 "," 5,527 "," 5,637 "," 5,798 "," 5,836 "," 5,781 "," 5,773 "," 5,806 "," 5,865 "," 5,921 "
3.D.2.a.iii.1.             Bovinos," 3,782 "," 3,909 "," 3,970 "," 3,986 "," 4,041 "," 4,117 "," 3,922 "," 4,000 "," 4,065 "," 4,101 "," 4,232 "," 4,422 "," 4,651 "," 4,889 "," 5,101 "," 5,163 "," 5,145 "," 5,014 "," 5,092 "," 5,207 "," 5,362 "," 5,397 "," 5,362 "," 5,353 "," 5,381 "," 5,427 "," 5,482 "
3.D.2.a.iii.1.a.               Bovinos de corte," 2,733 "," 2,815 "," 2,847 "," 2,887 "," 2,945 "," 2,992 "," 3,032 "," 3,066 "," 3,120 "," 3,150 "," 3,253 "," 3,427 "," 3,619 "," 3,831 "," 3,999 "," 4,027 "," 3,993 "," 3,853 "," 3,908 "," 3,976 "," 4,105 "," 4,126 "," 4,117 "," 4,103 "," 4,124 "," 4,280 "," 4,416 "
