Project ID,ARB ID,Project Developer,Project Name,Project VVB,Project Type,Voluntary Status,ARB Status,Project Site Location,Project Site State,Project Site Country,Sustainable Development Goal(s),Project Notes,Total Number of Credits Registered ,Documents,Project Website,Unnamed: 16
ACR367,CAMM5367,Vessels Carbon Solutions,Elk Creek Permit Area Abandoned Mine Project,"First Environment of California, Inc.",Coal Mine Methane,,Listed - Active ARB Project,Somerset,COLORADO,US,"Industry, Innovation and Infrastructure;Climate Action",,704617.0,View,,
ACR205,,Terra Global Capital,Emission Reductions in California Rice Management Systems,"Environmental Services, Inc.",Agricultural Land Management,Completed,Not ARB Eligible,Colusa and Glenn Counties in Californias Sacramento Valley.,CALIFORNIA,US,Zero Hunger;Clean Water and Sanitation;Climate Action;Life on Land,,202.0,View,,
ACR231,,Terra Global Capital,Emission Reductions in California Rice Management Systems  System 2,,Agricultural Land Management,Canceled,Not ARB Eligible,"Colusa, Butte, Sutter, Placer, Glenn, Yuba and Sacramento Counties in California",CALIFORNIA,US,Zero Hunger;Clean Water and Sanitation;Climate Action;Life on Land,,,View,,
ACR230,,Terra Global Capital,Emission Reductions in Midsouth Rice Management Systems,SCS Global Services (Scientific Certification Systems),Agricultural Land Management,Completed,Not ARB Eligible,"Prairie, McGhee, Desha, Mississippi and Craighead Counties in Arkansas, and Coahoma, Bolivar, and Washington Counties in Mississippi",ARKANSAS,US,Zero Hunger;Clean Water and Sanitation;Climate Action;Life on Land,,395.0,View,,
ACR184,,EOS Climate Inc,EOS ACR 2013,NSF International Strategic Registrations (NSF-ISR),Ozone Depleting Substances,Registered,Early Action,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,249025.0,View,www.eosclimate.com,
ACR213,CAOD5068,EOS Climate Inc,EOS ACR 213,"SES, Inc.",Ozone Depleting Substances,,ARB Completed,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,127664.0,View,www.eosclimate.com,
ACR214,CAOD5069,EOS Climate Inc,EOS ACR 214,"SES, Inc.",Ozone Depleting Substances,,ARB Completed,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,145580.0,View,www.eosclimate.com,
ACR240,CAOD5140,EOS Climate Inc,EOS ACR 240,"SES, Inc.",Ozone Depleting Substances,,ARB Completed,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,129700.0,View,www.eosclimate.com,
ACR252,CAOD5188,EOS Climate Inc,EOS ACR 252,"SES, Inc.",Ozone Depleting Substances,,ARB Completed,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,140736.0,View,www.eosclimate.com,
ACR253,CAOD5189,EOS Climate Inc,EOS ACR 253,"SES, Inc.",Ozone Depleting Substances,,ARB Completed,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,135017.0,View,www.eosclimate.com,
ACR258,CAOD5001,EOS Climate Inc,EOS ACR 258,Ruby Canyon Environment,Ozone Depleting Substances,,Listed - Active ARB Project,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,,View,www.eosclimate.com,
ACR271,CAOD5211,EOS Climate Inc,EOS ACR 271,Ruby Canyon Environment,Ozone Depleting Substances,,ARB Completed,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,124882.0,View,www.eosclimate.com,
ACR285,CAOD5216,EOS Climate Inc,EOS ACR 285,"SES, Inc.",Ozone Depleting Substances,,ARB Completed,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,45663.0,View,www.eosclimate.com,
ACR311,CAOD5261,EOS Climate Inc,EOS ACR 311,Ruby Canyon Environment,Ozone Depleting Substances,,ARB Completed,Clean Harbors,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,107264.0,View,www.eosclimate.com,
ACR312,CAOD5262,EOS Climate Inc,EOS ACR 312,Ruby Canyon Environment,Ozone Depleting Substances,,ARB Completed,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,140871.0,View,www.eosclimate.com,
ACR315,CAOD5277,EOS Climate Inc,EOS ACR 315,Ruby Canyon Environment,Ozone Depleting Substances,,ARB Completed,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,86839.0,View,www.eosclimate.com,
ACR316,CAOD5278,EOS Climate Inc,EOS ACR 316,Ruby Canyon Environment,Ozone Depleting Substances,,ARB Completed,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,104897.0,View,www.eosclimate.com,
ACR351,CAOD5351,EOS Climate Inc,EOS ACR 351,"SES, Inc.",Ozone Depleting Substances,,ARB Completed,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,28562.0,View,www.eosclimate.com,
ACR352,CAOD5352,EOS Climate Inc,EOS ACR 352,"SES, Inc.",Ozone Depleting Substances,,ARB Completed,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,68637.0,View,www.eosclimate.com,
ACR356,CAOD5356,EOS Climate Inc,EOS ACR 356,"SES, Inc.",Ozone Depleting Substances,,Listed - Active ARB Project,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,110720.0,View,www.eosclimate.com,
ACR357,CAOD5357,EOS Climate Inc,EOS ACR 357,"SES, Inc.",Ozone Depleting Substances,,Listed - Active ARB Project,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,84131.0,View,www.eosclimate.com,
ACR358,CAOD5358,EOS Climate Inc,EOS ACR 358,"SES, Inc.",Ozone Depleting Substances,,Listed - Active ARB Project,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,60749.0,View,www.eosclimate.com,
